eic,name,tso,u_primary,u_secondary,imax,s_nom,r,x,b,g,theta,is_pst,x_physical
31T-0000-B-0002W,TR1 400/220 kV Melina,HOPS,400.0,231.0,1000.0,692.8203230275509,0.196,15.5,-9.42,2.5,0.0,True,True
31T-0000-B-0003U,TR2 400/220 kV Melina,HOPS,400.0,231.0,1000.0,692.8203230275509,0.207,15.9,-5.49,2.4,0.0,True,True
31T-0000-B-0001Y,TR4 400/220 kV Zerjavinec,HOPS,400.0,231.0,1000.0,692.8203230275509,0.195,16.3,-32.21,1.2,0.0,True,True
15T-M0000001145Z,TR Sajoszoged TR3,MAVIR,231.0,400.0,1250.0,500.12967068551325,0.251,12.81,-18.0,0.0,,False,True
15T-M0000000817H,TR Martonvasar TR1,MAVIR,231.0,400.0,1250.0,500.12967068551325,0.167,12.67,-1.0,0.0,,False,True
15T-M0000000818F,TR Martonvasar TR2,MAVIR,231.0,400.0,1250.0,500.12967068551325,0.224,13.32,-18.0,0.0,,False,True
19T1100000064579,TR BYCZYNA-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.121,12.032,-1.9421,0.0,0.0,True,True
19T1100000064587,TR BYCZYNA-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.121,12.032,-1.9421,0.0,0.0,True,True
19T0000000035667,TR DUNOWO-A1,PSE,400.0,220.0,400.0,277.12812921102034,0.2468,13.504,-11.1777,0.0,0.0,True,True
19T110000006503S,TR GDANSK-A3,PSE,400.0,220.0,330.0,228.63070659909178,0.1936,18.905,-8.3471,0.0,0.0,True,True
19T110000006511T,PST GRUDZIADZ-A3,PSE,400.0,220.0,500.0,346.41016151377545,0.15,12.487,-7.7273,0.0,90.0,True,True
19T110000006523M,TR JOACHIMOW-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.1162,11.393,-2.376,0.0,0.0,True,True
19T110000006524K,TR JOACHIMOW-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.1162,11.597,-6.2603,0.0,0.0,True,True
19T110000006525I,PST JOACHIMOW-TD1,PSE,220.0,220.0,500.0,190.5255888325765,0.0678,0.9874,-2.7273,0.0,90.0,True,True
19T110000006526G,PST JOACHIMOW-TD2,PSE,220.0,220.0,500.0,190.5255888325765,0.0678,0.997,-2.8306,0.0,90.0,True,True
19T110000006530P,TR KIELCE-A1,PSE,400.0,220.0,500.0,346.41016151377545,0.1452,11.722,-3.3678,0.0,0.0,True,True
19T110000006540M,TR KOZIENICE-A2,PSE,400.0,220.0,500.0,346.41016151377545,0.1742,11.084,-3.7603,0.0,0.0,True,True
19T000000003616I,TR KRAJNIK-A2,PSE,400.0,220.0,400.0,277.12812921102034,0.2226,13.741,-38.4917,0.0,0.0,True,True
19T000000003617G,TR KRAJNIK-A3,PSE,400.0,220.0,500.0,346.41016151377545,0.1258,12.874,-3.0785,0.0,0.0,True,True
